Name,Version,Status,Context,Lint command,Lint status,Lint duration,Lint output,Dry with Coq command,Dry with Coq status,Dry with Coq duration,Dry with Coq output,Dry without Coq command,Dry without Coq status,Dry without Coq duration,Dry without Coq output,Deps command,Deps status,Deps duration,Deps output,Package command,Package status,Package duration,Package output,Uninstall command,Uninstall status,Uninstall duration,Uninstall output,Missing removes,Mistake removes,Install sizes
coq:ssreflect,1.5.0,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb stable ../stable/packages/coq:ssreflect/coq:ssreflect.1.5.0,0,0,"",opam install -y --show-action coq:ssreflect.1.5.0 coq.8.4.5,0,11,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:ssreflect.1.5.0,0,2,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:ssreflect.1.5.0,0,33,"",opam remove -y coq:ssreflect.1.5.0,0,2,"","","","install/coq:ssreflect.install
1
lib/coq:ssreflect/opam.config
1
lib/coq/user-contrib/Ssreflect/choice.vo
172787
lib/coq/user-contrib/Ssreflect/ssrmatching.cmi
9458
lib/coq/user-contrib/Ssreflect/ssrnat.vo
335089
lib/coq/user-contrib/Ssreflect/fintype.vo
551672
lib/coq/user-contrib/Ssreflect/seq.vo
753639
lib/coq/user-contrib/Ssreflect/ssreflect.cmi
186152
lib/coq/user-contrib/Ssreflect/ssreflect.cmxs
2180616
lib/coq/user-contrib/Ssreflect/ssreflect.cma
692188
lib/coq/user-contrib/Ssreflect/ssrmatching.vo
1709
lib/coq/user-contrib/Ssreflect/ssreflect.vo
29760
lib/coq/user-contrib/Ssreflect/eqtype.vo
155626
lib/coq/user-contrib/Ssreflect/ssrfun.vo
93443
lib/coq/user-contrib/Ssreflect/ssrbool.vo
363661"
coq:ssr:multinomials,dev,DepsError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:ssr:multinomials/coq:ssr:multinomials.dev,0,0,"",opam install -y --show-action coq:ssr:multinomials.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:ssr:multinomials.dev,31744,300,"The following actions will be performed:
 - install   coq:ssreflect.1.5.0                   [required by coq:ssr:multinomials]
 - install   coq:math-comp.1.5.0                   [required by coq:ssr:multinomials]
=== 2 to install ===

=-=- Synchronizing package archives -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
[coq:math-comp.1.5.0] Downloading http://ssr.msr-inria.inria.fr/FTP/mathcomp-1.5.tar.gz
[coq:ssreflect.1.5.0] Downloading http://ssr.msr-inria.inria.fr/FTP/ssreflect-1.5.tar.gz

=-=- Installing packages =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Building coq:ssreflect.1.5.0:
  make -j4
  make install
Installing coq:ssreflect.1.5.0.
Building coq:math-comp.1.5.0:
  make -j4
  make install
",true,0,0,"",true,0,0,"","","",""
coq:ssr:elliptic-curves,dev,DepsError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:ssr:elliptic-curves/coq:ssr:elliptic-curves.dev,0,0,"",opam install -y --show-action coq:ssr:elliptic-curves.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:ssr:elliptic-curves.dev,31744,300,"The following actions will be performed:
 - install   coq:ssreflect.1.5.0                   [required by coq:ssr:elliptic-curves]
 - install   coq:math-comp.1.5.0                   [required by coq:ssr:elliptic-curves]
 - install   coq:ssr:multinomials.dev              [required by coq:ssr:elliptic-curves]
=== 3 to install ===

=-=- Synchronizing package archives -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
[coq:math-comp.1.5.0] Downloading http://ssr.msr-inria.inria.fr/FTP/mathcomp-1.5.tar.gz
[coq:ssreflect.1.5.0] Downloading http://ssr.msr-inria.inria.fr/FTP/ssreflect-1.5.tar.gz
[coq:ssr:multinomials] Fetching https://github.com/strub/multinomials-ssr

=-=- Installing packages =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Building coq:ssreflect.1.5.0:
  make -j4
  make install
Installing coq:ssreflect.1.5.0.
Building coq:math-comp.1.5.0:
  make -j4
  make install
",true,0,0,"",true,0,0,"","","",""
coq:smtcoq,dev,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:smtcoq/coq:smtcoq.dev,0,0,"",opam install -y --show-action coq:smtcoq.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:smtcoq.dev,0,2,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:smtcoq.dev,0,136,"",opam remove -y coq:smtcoq.dev,0,2,"","","","install/coq:smtcoq.install
1
lib/coq:smtcoq/opam.config
1
lib/coq/user-contrib/SMTCoq/lia/lia.cmi
6191
lib/coq/user-contrib/SMTCoq/lia/lia.cmx
4649
lib/coq/user-contrib/SMTCoq/lia/Lia.vo
663115
lib/coq/user-contrib/SMTCoq/euf/Euf.vo
135201
lib/coq/user-contrib/SMTCoq/Trace.vo
96027
lib/coq/user-contrib/SMTCoq/SMT_terms.vo
279527
lib/coq/user-contrib/SMTCoq/State.vo
69768
lib/coq/user-contrib/SMTCoq/trace/smt_tactic.cmxs
860272
lib/coq/user-contrib/SMTCoq/trace/satAtom.cmx
6748
lib/coq/user-contrib/SMTCoq/trace/smtTrace.cmx
6458
lib/coq/user-contrib/SMTCoq/trace/smt_tactic.cmx
4992
lib/coq/user-contrib/SMTCoq/trace/smtMisc.cmi
3642
lib/coq/user-contrib/SMTCoq/trace/smtForm.cmi
5769
lib/coq/user-contrib/SMTCoq/trace/smtAtom.cmx
9162
lib/coq/user-contrib/SMTCoq/trace/smtForm.cmx
4052
lib/coq/user-contrib/SMTCoq/trace/smtAtom.cmi
10595
lib/coq/user-contrib/SMTCoq/trace/coqTerms.cmi
9508
lib/coq/user-contrib/SMTCoq/trace/coqTerms.cmx
5685
lib/coq/user-contrib/SMTCoq/trace/smtCertif.cmx
1397
lib/coq/user-contrib/SMTCoq/trace/smtCnf.cmx
4568
lib/coq/user-contrib/SMTCoq/trace/smtcoq.cmxa
67324
lib/coq/user-contrib/SMTCoq/trace/smtTrace.cmi
10140
lib/coq/user-contrib/SMTCoq/trace/smtMisc.cmx
3177
lib/coq/user-contrib/SMTCoq/trace/smtCnf.cmi
5679
lib/coq/user-contrib/SMTCoq/trace/smt_tactic.cmi
4850
lib/coq/user-contrib/SMTCoq/trace/smtCertif.cmi
3097
lib/coq/user-contrib/SMTCoq/trace/satAtom.cmi
11393
lib/coq/user-contrib/SMTCoq/versions/standard/Array/PArray.vo
2435582
lib/coq/user-contrib/SMTCoq/versions/standard/structures.cmx
2814
lib/coq/user-contrib/SMTCoq/versions/standard/structures.cmi
3053
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Cyclic63.vo
1187459
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63Native.vo
95371
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Ring63.vo
70154
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63Op.vo
142150
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63Properties.vo
1792731
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63.vo
17032
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63Axioms.vo
34715
lib/coq/user-contrib/SMTCoq/versions/standard/Int63/Int63Lib.vo
76354
lib/coq/user-contrib/SMTCoq/cnf/Cnf.vo
89696
lib/coq/user-contrib/SMTCoq/Misc.vo
305824
lib/coq/user-contrib/SMTCoq/spl/Syntactic.vo
183801
lib/coq/user-contrib/SMTCoq/spl/Operators.vo
223442
lib/coq/user-contrib/SMTCoq/spl/Arithmetic.vo
27794
lib/coq/user-contrib/SMTCoq/verit/verit.cmi
9345
lib/coq/user-contrib/SMTCoq/verit/smtlib2_genConstr.cmx
4827
lib/coq/user-contrib/SMTCoq/verit/veritParser.cmi
2273
lib/coq/user-contrib/SMTCoq/verit/smtlib2_ast.cmx
1320
lib/coq/user-contrib/SMTCoq/verit/smtlib2_util.cmi
740
lib/coq/user-contrib/SMTCoq/verit/veritSyntax.cmi
4957
lib/coq/user-contrib/SMTCoq/verit/veritParser.cmx
5924
lib/coq/user-contrib/SMTCoq/verit/veritSyntax.cmx
5756
lib/coq/user-contrib/SMTCoq/verit/smtlib2_parse.cmi
1399
lib/coq/user-contrib/SMTCoq/verit/smtlib2_lex.cmx
56106
lib/coq/user-contrib/SMTCoq/verit/smtlib2_util.cmx
558
lib/coq/user-contrib/SMTCoq/verit/smtlib2_genConstr.cmi
5543
lib/coq/user-contrib/SMTCoq/verit/smtlib2_lex.cmi
713
lib/coq/user-contrib/SMTCoq/verit/smtlib2_ast.cmi
6003
lib/coq/user-contrib/SMTCoq/verit/verit.cmx
5984
lib/coq/user-contrib/SMTCoq/verit/veritLexer.cmi
771
lib/coq/user-contrib/SMTCoq/verit/smtlib2_parse.cmx
3979
lib/coq/user-contrib/SMTCoq/verit/veritLexer.cmx
11408
lib/coq/user-contrib/SMTCoq/zchaff/zchaff.cmx
6061
lib/coq/user-contrib/SMTCoq/zchaff/zchaffParser.cmx
4901
lib/coq/user-contrib/SMTCoq/zchaff/satParser.cmx
1749
lib/coq/user-contrib/SMTCoq/zchaff/satParser.cmi
2479
lib/coq/user-contrib/SMTCoq/zchaff/cnfParser.cmi
4840
lib/coq/user-contrib/SMTCoq/zchaff/zchaffParser.cmi
6062
lib/coq/user-contrib/SMTCoq/zchaff/cnfParser.cmx
4312
lib/coq/user-contrib/SMTCoq/zchaff/zchaff.cmi
10003
lib/coq/user-contrib/SMTCoq/SMTCoq.vo
18223"
coq:plouffe,dev,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:plouffe/coq:plouffe.dev,0,0,"",opam install -y --show-action coq:plouffe.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:plouffe.dev,0,122,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:plouffe.dev,0,107,"",opam remove -y coq:plouffe.dev,0,2,"","","","install/coq:plouffe.install
1
lib/coq:plouffe/opam.config
1
lib/coq/user-contrib/Plouffe/Plouffe.vo
156148
lib/coq/user-contrib/Plouffe/CPlouffe.vo
545885"
coq:plouffe,1.0.0,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb stable ../stable/packages/coq:plouffe/coq:plouffe.1.0.0,0,0,"",opam install -y --show-action coq:plouffe.1.0.0 coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:plouffe.1.0.0,0,120,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:plouffe.1.0.0,0,106,"",opam remove -y coq:plouffe.1.0.0,0,2,"","","","install/coq:plouffe.install
1
lib/coq:plouffe/opam.config
1
lib/coq/user-contrib/Plouffe/Plouffe.vo
156148
lib/coq/user-contrib/Plouffe/CPlouffe.vo
545885"
coq:pidetop,dev,LintError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:pidetop/coq:pidetop.dev,256,0,"You should specify the license to make your package public, if possible an open-source one. For example:
license: ""MIT""
",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:monad,dev,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:monad/coq:monad.dev,0,0,"",opam install -y --show-action coq:monad.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:monad.dev,0,2,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:monad.dev,0,3,"",opam remove -y coq:monad.dev,0,2,"","","","install/coq:monad.install
1
lib/coq:monad/opam.config
1
lib/coq/user-contrib/Monad/All.vo
3816"
coq:moment,dev,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:moment/coq:moment.dev,0,0,"",opam install -y --show-action coq:moment.dev coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:moment.dev,0,10,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:moment.dev,0,10,"",opam remove -y coq:moment.dev,0,3,"","","","install/coq:moment.install
1
lib/coq/user-contrib/Moment/All.vo
16235
lib/coq/user-contrib/Moment/Time.vo
35088
lib/coq/user-contrib/Moment/Date.vo
440002
lib/coq/user-contrib/Moment/Moment.vo
30533
lib/coq/user-contrib/Moment/TestHelpers.vo
4820
lib/coq:moment/opam.config
1"
coq:moment,1.0.0,Success,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb stable ../stable/packages/coq:moment/coq:moment.1.0.0,0,0,"",opam install -y --show-action coq:moment.1.0.0 coq.8.4.5,0,2,"",true,0,0,"",ulimit -Sv 2000000; timeout 5m opam install -y --deps-only coq:moment.1.0.0,0,9,"",ulimit -Sv 2000000; timeout 30m opam install -y --verbose coq:moment.1.0.0,0,8,"",opam remove -y coq:moment.1.0.0,0,2,"","","","install/coq:moment.install
1
lib/coq/user-contrib/Moment/All.vo
16235
lib/coq/user-contrib/Moment/Time.vo
35088
lib/coq/user-contrib/Moment/Date.vo
440002
lib/coq/user-contrib/Moment/Moment.vo
30533
lib/coq/user-contrib/Moment/TestHelpers.vo
4820
lib/coq:moment/opam.config
1"
